3.9636,1.0472,2.9161,3.9476,19.861
3.0518,1.9335,2.6446,2.8738,19.856
2.4079,2.755,1.9091,2.0378,19.964
2.2014,3.3532,2.0829,1.3863,20.242
1.8218,3.6749,2.1401,0.92941,19.994
1.6502,3.6263,2.1777,0.69709,20.145
1.3995,4.2171,2.3485,0.4861,20.098
1.2777,4.0757,2.5019,0.48978,20.14
1.0787,4.1826,2.7247,0.43581,20.021
0.99949,3.9828,2.9273,0.35228,20.038
0.95828,4.074,3.0893,0.24046,20.051
0.74154,3.8293,3.2156,0.22017,19.969
0.71988,3.704,3.4887,0.29635,19.931
0.61783,3.538,3.4952,0.41741,20.171
0.63166,3.4046,3.4911,0.31239,20.013
0.60842,3.2916,3.6388,0.19316,20.022
0.53757,3.1331,3.5972,-0.00012088,19.953
0.42392,3.0817,3.6014,0.32173,20.051
0.57517,2.9324,3.5727,0.15336,19.954
0.37574,2.8671,3.6372,0.30166,20.121
0.45184,2.6336,3.5555,0.16598,20.015
0.41483,2.5851,3.6597,0.15021,20.04
0.44554,2.43,3.5846,0.16097,19.93
0.56412,2.5925,3.5823,-0.06956,20.044
0.49502,2.564,3.5994,0.052023,19.952
0.59015,2.6227,3.4421,0.25962,20.115
0.63636,2.4755,3.4528,0.25487,20.03
0.6764,2.3612,3.5111,0.22876,19.941
0.52173,2.57,3.2392,0.26817,19.981
0.61657,2.6707,3.1455,0.084967,20.131
0.60747,2.8235,3.256,0.19157,19.893
0.53582,2.4046,3.0831,0.30932,19.886
0.56404,2.7316,3.2275,0.24211,19.858
0.60654,2.6116,3.2951,0.11826,19.947
0.54754,2.7436,3.1195,-0.027153,20.003
0.52657,2.7046,3.052,0.093918,20.014
0.70935,2.616,3.2093,0.19649,20.009
0.83346,2.7389,2.9414,0.22731,19.991
0.71687,2.6023,3.0032,0.070504,19.981
0.48305,2.7196,3.1721,0.25133,20.106
0.57592,2.7982,3.0598,0.31267,20.008
0.51409,2.5849,2.9129,0.048065,19.986
0.55569,2.467,3.2672,0.16616,20.112
0.62464,2.7316,3.095,0.19077,20.209
0.61292,3.0505,2.9402,0.22349,19.853
0.69719,2.5898,3.1213,0.079507,20.199
0.74244,2.9248,3.0729,0.074434,19.858
0.69515,2.8972,3.3585,0.27881,20.052
0.96645,2.7316,3.0445,0.093937,19.813
0.79412,2.6009,3.0547,0.30072,19.956
0.97522,2.7732,3.0679,0.26036,19.93
