3.9925,1.0026,3.2006,3.887,20.065,8.1419,2.9174,2.0053
2.9658,2.2508,2.4,2.8349,19.977,8.0394,2.9474,1.7553
2.4734,2.7234,2.0972,2.0702,19.986,7.859,2.9837,2.211
2.2344,3.4037,2.1522,1.3089,19.886,7.9295,2.9669,1.8479
1.8497,3.6143,2.0988,0.87484,20.037,7.874,3.0223,1.9587
1.5244,3.8672,2.1867,0.71047,20.004,7.8902,3.0376,2.017
1.5531,4.21,2.3572,0.36606,19.92,7.9426,2.9766,1.9695
1.4286,3.9225,2.6431,0.49404,20.06,8.0467,3.0208,1.9942
0.79956,4.0537,2.7041,0.44647,19.991,7.9851,2.9112,1.9224
1.0296,3.9336,2.984,0.23538,19.942,8.0025,3.0563,1.9828
0.78457,3.9592,3.0701,0.36316,20.07,7.8994,2.7756,2.0102
0.8445,3.5542,3.2893,0.32767,19.983,8.0709,3.0629,1.9236
0.79852,3.8334,3.3998,0.30571,20.017,7.9364,3.0264,2.0558
0.5904,3.5946,3.398,0.26597,19.927,8.0616,2.9771,2.0821
0.56506,3.2925,3.6278,0.080051,20.029,8.0449,2.9464,1.9079
0.48113,3.172,3.5635,0.095806,19.797,8.0639,3.1136,1.9214
0.42725,3.0472,3.8055,0.24612,20.007,7.9416,3.1015,1.9773
0.57858,3.047,3.6721,0.074914,20.198,7.906,2.8391,1.978
0.47817,2.8309,3.738,0.13373,20.042,8.1287,2.8596,2.0444
0.64618,2.8583,3.7213,0.14435,20.06,8.0613,2.9608,2.0711
0.31263,2.881,3.5566,0.15112,19.96,7.9422,3.2004,1.949
0.51411,2.677,3.5425,0.050307,19.805,8.0026,2.9174,1.9282
0.3167,2.7245,3.4115,0.37203,19.792,8.0273,2.7623,2.0379
0.41924,2.594,3.5987,0.088183,20.015,7.9079,3.1191,2.0981
0.45518,2.7877,3.2328,0.25798,20.023,7.9649,3.0527,2.0875
0.8447,2.4721,3.5162,0.27222,20.005,8.0211,3.1152,1.9648
0.60067,2.6186,3.4319,0.14874,20.025,7.8084,3.0711,2.1563
0.47833,2.4615,3.2751,0.072379,20.073,8.0085,2.9572,1.9404
0.49821,2.5851,3.285,0.1629,19.993,8.1122,2.9747,1.9605
0.62388,2.4608,3.248,0.1269,20.049,8.1226,2.9848,2.0839
0.58929,2.6289,3.1671,0.16869,20.075,8.0502,3.1772,2.0026
0.60627,2.6594,3.0366,0.21434,20.231,8.0026,2.949,2.139
0.4709,2.6404,3.1921,0.39413,20.048,8.065,2.8274,2.1604
0.57096,2.542,3.3566,0.28839,19.98,7.8851,3.1057,1.9929
0.46732,2.7855,3.2263,0.18604,20.13,7.9718,3.0242,1.9726
0.64197,2.4793,3.3678,0.14686,19.869,7.9392,2.8118,2.0389
0.64833,2.6542,3.2508,0.21617,20.065,7.9835,3.0536,1.9441
0.60669,2.4843,3.0486,0.072432,19.971,8.0712,2.9683,2.1346
0.69619,2.6596,3.1723,0.22777,19.933,8.116,2.9962,1.9502
0.63856,2.7299,3.039,0.29853,19.97,8.0208,2.9984,2.0885
0.82627,2.5491,3.11,0.32401,19.982,8.1267,2.9357,2.0589
0.70576,2.6985,2.9858,0.17069,20.104,7.9494,3.1149,1.8342
0.59039,2.6229,3.1385,0.25062,20.076,7.9749,3.058,1.914
0.63116,2.7249,3.0512,0.099565,20.024,8.0559,3.035,2.0275
0.54582,2.6013,3.1114,0.3516,19.796,7.9795,2.9821,1.999
0.52784,2.689,3.0058,0.30718,20.112,7.9775,3.0072,1.8621
0.65334,2.7228,3.2908,0.2695,20.052,7.9526,2.998,2.3138
0.8036,2.7704,3.1726,0.21528,19.983,7.9739,3.0128,2.0843
0.72275,2.7867,3.2382,0.060856,20.064,7.8323,2.9686,1.9403
0.68609,2.5337,3.0624,0.030906,20.043,8.0236,2.9821,1.9794
0.76431,2.7589,3.1531,0.12421,20.011,7.9807,2.9818,1.96
