4.0333,1.0516,2.9768,4.0602
3.1126,2.0347,2.4528,2.6023
2.5937,2.7156,2.0744,1.8988
2.0304,3.5126,1.95,1.3632
1.8312,3.5893,1.9249,0.77041
1.6287,3.8172,2.0865,0.51753
1.5379,3.8779,2.5297,0.33975
1.292,3.8745,2.5492,0.34167
1.1155,4.1794,2.6274,0.38364
0.87462,4.1843,2.9922,0.24555
1.0828,3.7194,3.1587,0.30309
0.71919,3.9075,3.3108,0.55845
0.61787,3.7927,3.4588,0.23456
0.64384,3.6859,3.4296,0.26331
0.6768,3.462,3.5275,0.223
0.35818,3.3524,3.7687,0.10514
0.47165,3.0757,3.5524,0.25285
0.5227,2.9841,3.6153,0.099585
0.5702,2.8996,3.667,0.16273
0.61431,2.7998,3.6301,0.20695
0.43426,2.7286,3.5968,0.215
0.62784,2.6637,3.7002,0.15888
0.599,2.5643,3.5665,0.24093
0.56859,2.7617,3.5369,0.16596
0.63096,2.394,3.5202,0.39893
0.54048,2.483,3.5795,0.023605
0.61574,2.5449,3.603,0.2192
0.6259,2.3457,3.5078,0.11866
0.52174,2.7306,3.4065,0.15508
0.46959,2.6344,3.2575,0.011647
0.76848,2.6388,3.2267,0.31002
0.57859,2.5802,3.1695,0.18394
0.46291,2.8279,3.127,0.053746
0.56481,2.4048,3.1856,0.18898
0.63495,2.7606,3.1535,0.25323
0.62362,2.6867,3.0578,0.1463
0.45847,2.6054,2.9836,0.16138
0.72105,2.6396,3.2305,0.2351
0.62401,2.7691,3.1268,0.12533
0.77108,2.7006,3.0407,0.17701
0.68177,2.6669,3.1962,0.16437
0.67735,2.7287,3.1824,0.36439
0.48704,2.7591,3.2279,0.17677
0.78203,2.6842,3.162,0.24371
0.6222,2.6467,3.0853,0.29821
0.60171,2.8743,2.9494,0.12841
0.53287,2.8031,3.1777,0.27036
0.62321,2.8222,3.042,0.1695
0.62278,2.7128,3.0392,0.21729
0.7002,2.7992,3.1674,0.084809
0.48896,2.7652,3.3023,-0.011204
